source	suite	scenario	variant	rows	elapsed_sum_ms	elapsed_avg_ms	elapsed_p99_ms	open_s	storage_us	probe_total_us	probe_stage_sum_us	unaccounted_storage_us	probe_count	offset_lookup_us	body_read_us	bloom_us	setup_us	offset_share_of_probe	body_share_of_probe	probe_share_of_storage	csr_candidate_l0_segments	csr_filter_passed_segments	csr_bloom_filtered_segments	csr_body_reads	csr_body_bytes	io_read_bytes	io_read_syscalls	result_count	neighbor_edges	path
W14	sf100-semantic-necessity	degree-class	budg-b64	1	5973	5973.0	5973.0	0.067	5965715	5234241	5219856	731474	7351	5023833	196023	0	0	0.9598	0.0375	0.8774	1068450	7351	1061099	5000	621600	3686664	132711	0	19425	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/degree-class/budg-b64.json
W14	sf100-semantic-necessity	degree-class	edge-type-only	1	6071	6071.0	6071.0	0.029	6065521	5332912	5318468	732609	7349	5115147	203316	5	0	0.9592	0.0381	0.8792	1069591	7349	1062242	5000	621600	3687048	132727	0	19425	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/degree-class/edge-type-only.json
W14	sf100-semantic-necessity	degree-class	schema	1	776331	776331.0	776331.0	594.798	776314540	774249620	773565258	2064920	1072533	773361032	202552	217	1457	0.9989	0.0003	0.9973	1072533	1072533	0	5002	621664	464247544	19322747	0	19425	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/degree-class/schema.json
W14	sf100-semantic-necessity	degree-class	semantic	1	6070	6070.0	6070.0	674.880	6059363	5339969	5325426	719394	7383	5124755	200661	0	10	0.9597	0.0376	0.8813	1068646	7383	1061263	5000	621600	3696312	133113	0	19425	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/degree-class/semantic.json
W14	sf100-semantic-necessity	property-required	budg-b64	1	7	7.0	7.0	0.067	5072	0	0	5072	0	0	0	0	0			0.0000	0	0	0	0	0	0	0	0	0	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/property-required/budg-b64.json
W14	sf100-semantic-necessity	property-required	edge-type-only	1	6	6.0	6.0	0.020	5031	0	0	5031	0	0	0	0	0			0.0000	0	0	0	0	0	0	0	0	0	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/property-required/edge-type-only.json
W14	sf100-semantic-necessity	property-required	schema	1	7	7.0	7.0	583.300	5045	0	0	5045	0	0	0	0	0			0.0000	0	0	0	0	0	0	0	0	0	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/property-required/schema.json
W14	sf100-semantic-necessity	property-required	semantic	1	8	8.0	8.0	744.251	2685	0	0	2685	0	0	0	0	0			0.0000	0	0	0	0	0	0	0	0	0	remote-logs/w14-sf100-minimal-reuse-20260617-codex1/property-required/semantic.json
W6	sf100-core	core	budg-b1024	9	383837	42648.556	118746.0		383757186	376675580	375262123	7081606	551630	353445803	21803778	201	12341	0.9383	0.0579	0.9815	7929225	551630	7377595	532193	153829408	361405552	9181199	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/budg-b1024-bench.json
W6	sf100-core	core	budg-b256	9	387318	43035.333	124744.0		387246845	381179894	379841970	6066951	549227	358207254	21620073	151	14492	0.9397	0.0567	0.9843	6480991	549227	5931764	532193	153829408	364826944	9323757	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/budg-b256-bench.json
W6	sf100-core	core	budg-b64	9	390288	43365.333	123887.0		390218903	384660083	383278158	5558820	548514	361451118	21812600	148	14292	0.9397	0.0567	0.9858	6022507	548514	5473993	532193	153829408	366411688	9389788	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/budg-b64-bench.json
W6	sf100-core	core	edge-type-only	9	390493	43388.111	124210.0		390441870	384905392	383524637	5536478	548404	361759196	21746533	133	18775	0.9399	0.0565	0.9858	5899015	548404	5350611	532193	153829408	366846328	9407898	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/edge-type-only-bench.json
W6	sf100-core	core	kv-lsm	9	2426634	269626.0	756516.0		2426545113	2381022218	2372602229	45522895	3187225	2244246446	128290604	1053	64126	0.9426	0.0539	0.9812	49257601	3187225	46070376	3122166	1000730528	2307659960	57577559	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/kv-lsm-bench.json
W6	sf100-core	core	naive	9	2402445	266938.333	748905.0		2402358261	2357269153	2349663572	45089108	3187225	2222012885	127585574	836	64277	0.9426	0.0541	0.9812	49257601	3187225	46070376	3122166	1000730528	2307659960	57577559	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/naive-bench.json
W6	sf100-core	core	oracle	9	386252	42916.889	127940.0		386200521	382428782	380010644	3771739	532193	358330058	21649750	3270	27566	0.9370	0.0566	0.9902	532193	0	0	532193	161594368	372233992	9308844	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/oracle-bench.json
W6	sf100-core	core	schema	9	393126	43680.667	125443.0		393071913	387530229	386182777	5541684	548549	364399730	21769970	233	12844	0.9403	0.0562	0.9859	5929197	548549	5380648	532227	153835168	366900112	9409933	0	4807169	remote-logs/w6-sf100-matrix-20260613-132325/schema-bench.json
