run	scale	scope	edge_type	ops	total_neighbors	avg_us	p50_us	p90_us	p99_us	load_s	peak_rss_kb	disk_total_bytes	notes
external-baseline-livegraph-sf1-smoke-20260624	SF1	all-types-summary	*	16140	82970322	41.293491				21.155	4850512	5368709120	34 edge types; percentiles not aggregated
external-baseline-livegraph-sf1-smoke-20260624	SF1	positive-edge-types-summary	*	8070	419837	1.363815				21.155	4850512	5368709120	17 edge types; percentiles not aggregated
external-baseline-livegraph-sf1-smoke-20260624	SF1	negative-edge-types-summary	*	8070	82550485	81.223167				21.155	4850512	5368709120	17 edge types; percentiles not aggregated
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-17	70	750	0.248357	0.207	0.355	3.394	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-16	500	28104	1.01051	0.92	1.557	2.833	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-15	500	17557	0.752948	0.783	1.075	1.99	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-14	500	123915	3.17703	2.74	5.592	11.32	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-13	500	10598	1.34421	1.377	1.733	2.119	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-12	500	344722	7.01176	4.026	18.543	33.375	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-11	500	500	0.92929	0.885	1.176	1.51	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-10	500	3379	0.982572	0.96	1.219	1.585	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-9	500	1704	0.98218	0.956	1.212	1.548	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-8	500	58280	2.0834	1.549	4.127	8.608	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-7	500	88899	2.69768	2.072	5.299	9.002	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-6	500	35247	0.75917	0.382	1.558	2.541	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-5	500	78900337	1239.66	650.592	3627.61	3665.63	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-4	500	1479769	22.0617	31.45	37.623	42.204	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-3	500	888648	15.7268	12.886	26.754	104.555	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-2	500	521625	9.89931	5.989	19.776	69.582	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	-1	500	46451	1.82858	1.434	3.21	7.144	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	1	500	61862	2.03219	1.613	3.423	7.989	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	2	500	500	1.03097	1.004	1.297	1.62	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	3	500	3569	1.05422	1.004	1.349	1.904	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	4	500	500	0.72093	0.72	0.991	1.291	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	5	500	500	0.89469	0.86	1.085	1.405	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	6	500	500	0.57075	0.61	0.904	1.247	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	7	500	149922	3.69558	2.986	5.857	15.935	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	8	500	121126	3.26053	2.381	6.379	14.345	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	9	500	500	0.889068	0.871	1.125	1.456	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	10	500	500	0.828348	0.815	1.024	1.291	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	11	500	17179	1.29561	1.107	1.724	6.957	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	12	500	36825	1.6912	1.365	2.741	7.359	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	13	500	500	0.806066	0.775	1.034	1.339	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	14	500	23634	1.53631	1.52	1.994	2.441	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	15	500	500	0.796426	0.828	1.116	1.401	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	16	500	1650	0.85506	0.867	1.174	1.559	21.155	4850512	5368709120	
external-baseline-livegraph-sf1-smoke-20260624	SF1	per-edge-type	17	70	70	0.385886	0.401	0.811	1.205	21.155	4850512	5368709120	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	all-types-summary	*	32140	1510614465	391.062912				1457.36	47908544	38654705664	34 edge types; percentiles not aggregated
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	positive-edge-types-summary	*	16070	1645266	2.089441				1457.36	47908544	38654705664	17 edge types; percentiles not aggregated
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	negative-edge-types-summary	*	16070	1508969199	780.036382				1457.36	47908544	38654705664	17 edge types; percentiles not aggregated
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-17	70	750	0.240871	0.208	0.34	2.787	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-16	1000	365294	11.1431	5.577	29.855	66.782	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-15	1000	249416	5.88661	2.712	12.263	42.49	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-14	1000	1620194	37.4633	18.777	97.942	202.293	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-13	1000	20510	2.86638	1.785	7.006	12.537	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-12	1000	1013506	27.0427	11.326	65.144	215.984	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-11	1000	1000	3.56418	3.567	6.398	9.176	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-10	1000	6684	3.94355	3.596	8.852	11.632	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-9	1000	3404	3.82051	3.62	8.627	9.411	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-8	1000	182902	10.998	6.78	24.21	62.996	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-7	1000	240496	10.0429	5.208	23.774	63.158	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-6	1000	69314	0.707202	0.376	1.561	1.953	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-5	1000	1481517336	12221.6	6200.7	33629.4	33790.5	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-4	1000	3075387	23.1399	32.099	37.701	42.38	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-3	1000	18563332	152.331	127.023	255.29	1111.49	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-2	1000	1904550	17.8775	10.08	39.159	115.653	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	-1	1000	135124	2.74097	2.03	4.447	12.439	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	1	1000	227345	3.53884	2.587	7.334	15.091	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	2	1000	1000	1.21798	1.19	1.465	1.723	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	3	1000	7110	1.31015	1.267	1.63	2.339	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	4	1000	1000	0.830041	0.839	1.1	1.381	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	5	1000	1000	1.12408	1.09	1.357	1.661	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	6	1000	1000	0.621112	0.724	0.98	1.388	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	7	1000	735132	7.9178	5.954	13.249	36.662	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	8	1000	421603	5.49432	3.929	10.506	26.262	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	9	1000	1000	1.04783	1.009	1.269	1.555	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	10	1000	1000	0.988292	0.962	1.206	1.484	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	11	1000	69570	1.93444	1.38	2.954	13.612	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	12	1000	127091	2.57782	2.007	4.828	11.624	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	13	1000	1000	0.97008	0.943	1.184	1.502	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	14	1000	46017	1.83524	1.809	2.311	2.911	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	15	1000	1000	1.0323	1.014	1.264	1.533	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	16	1000	3328	1.11089	1.084	1.403	1.698	1457.36	47908544	38654705664	
external-baseline-livegraph-sf10-typed-scan-20260624	SF10	per-edge-type	17	70	70	0.372886	0.367	0.699	1.018	1457.36	47908544	38654705664	
