system	group	scale	scope	ops	avg_us	p50_us	p90_us	p99_us	load_s	peak_rss_kb	disk_total_bytes	correctness	claim_level	raw_artifact	notes
LiveGraph	problem-adjacent	SF1	all-types-summary	16140	41.293491				21.155	4850512	5368709120	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	34 edge types; percentiles not aggregated
LiveGraph	problem-adjacent	SF1	positive-edge-types-summary	8070	1.363815				21.155	4850512	5368709120	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	17 edge types; percentiles not aggregated
LiveGraph	problem-adjacent	SF1	negative-edge-types-summary	8070	81.223167				21.155	4850512	5368709120	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	17 edge types; percentiles not aggregated
LiveGraph	problem-adjacent	SF10	all-types-summary	32140	391.062912				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	34 edge types; percentiles not aggregated
LiveGraph	problem-adjacent	SF10	positive-edge-types-summary	16070	2.089441				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	17 edge types; percentiles not aggregated
LiveGraph	problem-adjacent	SF10	negative-edge-types-summary	16070	780.036382				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	17 edge types; percentiles not aggregated
LSMGraph-style	problem-adjacent	SF30	core-s200	70129	335.2245290821201	100	100	100			42818497255	internal engine run; no external digest gate	internal layout baseline, not official external artifact	baseline/semL0-ablation-results/traces/e11-sf30-lsmgraph_style-20260608	body_reads=68891; candidate_l0_segments=602946; l0_files=519
LSMGraph-style	problem-adjacent	SF30	alltypes-s50	77929	328.67526851364704	100	100	1000			42818497255	internal engine run; no external digest gate	internal layout baseline, not official external artifact	baseline/semL0-ablation-results/traces/e11-sf30-lsmgraph_style-20260608	body_reads=77016; candidate_l0_segments=426066; l0_files=519
LSMGraph-style	problem-adjacent	SF100	core-s200	129485	556.7412132679461	100	100	10000			140589867058	internal engine run; no external digest gate	internal layout baseline, not official external artifact	baseline/semL0-ablation-results/traces/e11-sf100-lsmgraph_style-20260608	body_reads=125407; candidate_l0_segments=1967530; l0_files=1703
Neo4j Community	open-source-graph-db	SF10	all-types-summary	1700	1974806.0859911756	3442.775	70662.558	34522340.128	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	neighbors=84104814; samples=50; relationships_imported=355185382
Neo4j Community	open-source-graph-db	SF10	positive-edge-types-summary	850	6444.488203529413	1459.891	15364.28	70333.282	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	neighbors=87168; samples=50; relationships_imported=355185382
Neo4j Community	open-source-graph-db	SF10	negative-edge-types-summary	850	3943167.6837788224	8292.575	307835.191	166537341.706	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	neighbors=84017646; samples=50; relationships_imported=355185382
Neo4j Community	open-source-graph-db	SF1	all-types-summary	1700	180922.68098117638	2899.281	43831.28	3458485.918	34.628		2174091281	PASS	measured graph DB baseline; SF1 smoke	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf1-smoke	neighbors=7557645; samples=50; relationships_imported=34692699; stale FAILED marker from an earlier attempt is superseded by current DONE/query-results PASS
Neo4j Community	open-source-graph-db	SF1	positive-edge-types-summary	850	4296.644080000002	1463.997	7972.263	49406.339	34.628		2174091281	PASS	measured graph DB baseline; SF1 smoke	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf1-smoke	neighbors=42257; samples=50; relationships_imported=34692699; stale FAILED marker from an earlier attempt is superseded by current DONE/query-results PASS
Neo4j Community	open-source-graph-db	SF1	negative-edge-types-summary	850	357548.7178823526	6208.122	132812.856	16584154.521	34.628		2174091281	PASS	measured graph DB baseline; SF1 smoke	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf1-smoke	neighbors=7515388; samples=50; relationships_imported=34692699; stale FAILED marker from an earlier attempt is superseded by current DONE/query-results PASS
TuGraph	open-source-graph-db	SF1	all-types-summary	1700	420.925	6.358	151.398	17602.6	269.804	1618668	1595001088	PASS	measured graph DB baseline; SF1 full	baseline/external-baselines-20260626/3plus3-baselines/systems/tugraph/sf1-full-r1	loaded_vertices=3181724; loaded_edges=34692699; neighbors=7557645; embedded C++ API
TuGraph	open-source-graph-db	SF10	all-types-summary	1700	3775.45	12.63	633.49	158870	3939.95	14697508	14960539904	PASS	measured graph DB baseline; SF10 full	baseline/external-baselines-20260626/3plus3-baselines/systems/tugraph/sf10-main-r1	loaded_vertices=29987835; loaded_edges=355185382; neighbors=84104814; embedded C++ API
