system	scale	scope	ops	avg_us	p50_us	p90_us	p99_us	load_s	peak_rss_kb	disk_bytes	correctness	claim_scope
SemL0-schema	SF10	W6 core typed-neighbor; 9 core edge types; 1000 samples/type; 3 repeats	9,000	749.8	1,048	1,248	1,407	import measured separately	see resource table	13.3 GiB	PASS (9,000)	internal storage-layout row, not external DBMS
SemL0-budg-b64	SF10	W6 core typed-neighbor; 9 core edge types; 1000 samples/type; 3 repeats	9,000	525.4	706	989	1,170	import measured separately	see resource table	13.3 GiB	PASS (9,000)	internal storage-layout row, not external DBMS
SemL0-semantic	SF10	W6 core typed-neighbor; 9 core edge types; 1000 samples/type; 3 repeats	9,000	509.1	702	744	1,170	import measured separately	see resource table	14.6 GiB	PASS (9,000)	internal storage-layout row, not external DBMS
SemL0-naive	SF10	W6 core typed-neighbor; 9 core edge types; 1000 samples/type; 3 repeats	9,000	4,177.3	5,713	7,426	7,833	import measured separately	see resource table	13.4 GiB	anchor	internal storage-layout row, not external DBMS
SemL0-kv-lsm	SF10	W6 core typed-neighbor; 9 core edge types; 1000 samples/type; 3 repeats	9,000	4,111.1	5,676	6,296	7,833	import measured separately	see resource table	13.4 GiB	PASS (9,000)	internal storage-layout row, not external DBMS
LiveGraph	SF10	all-types-summary	32140	391.062912				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline
LiveGraph	SF10	positive-edge-types-summary	16070	2.089441				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline
Aster RocksGraph	SF10	all-types-summary	1700	1408.27	580.529	1061.24	15809.6	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline
Aster RocksGraph	SF10	positive-edge-types-summary	850	564.505	558.747	917.97	1123.39	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline
Neo4j Community	SF10	all-types-summary	1700	1974806.0859911756	3442.775	70662.558	34522340.128	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main
Neo4j Community	SF10	positive-edge-types-summary	850	6444.488203529413	1459.891	15364.28	70333.282	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main
TuGraph	SF10	all-types-summary	1700	3775.45	12.63	633.49	158870	3939.95	14697508	14960539904	PASS	measured graph DB baseline; SF10 full
NebulaGraph	SF10	all-types-summary	1700	744146.6177941178	741.524	20218.339	14228169.276	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model
NebulaGraph	SF10	positive-edge-types-summary	850	1753.3543270588223	480.324	3450.354	20629.986	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model
