source	scenario	variant	schema_elapsed_sum_ms	variant_elapsed_sum_ms	elapsed_sum_ms_ratio_schema_over_variant	schema_csr_candidate_l0_segments	variant_csr_candidate_l0_segments	csr_candidate_l0_segments_ratio_schema_over_variant	schema_csr_filter_passed_segments	variant_csr_filter_passed_segments	csr_filter_passed_segments_ratio_schema_over_variant	schema_csr_body_reads	variant_csr_body_reads	csr_body_reads_ratio_schema_over_variant	schema_csr_body_bytes	variant_csr_body_bytes	csr_body_bytes_ratio_schema_over_variant	schema_io_read_bytes	variant_io_read_bytes	io_read_bytes_ratio_schema_over_variant	schema_offset_lookup_us	variant_offset_lookup_us	offset_lookup_us_ratio_schema_over_variant
W14	degree-class	edge-type-only	776331	6071	127.875	1072533	1069591	1.003	1072533	7349	145.943	5002	5000	1.000	621664	621600	1.000	464247544	3687048	125.913	773361032	5115147	151.190
W14	degree-class	budg-b64	776331	5973	129.973	1072533	1068450	1.004	1072533	7351	145.903	5002	5000	1.000	621664	621600	1.000	464247544	3686664	125.926	773361032	5023833	153.938
W14	degree-class	semantic	776331	6070	127.896	1072533	1068646	1.004	1072533	7383	145.271	5002	5000	1.000	621664	621600	1.000	464247544	3696312	125.597	773361032	5124755	150.907
W14	property-required	edge-type-only	7	6	1.167	0	0		0	0		0	0		0	0		0	0		0	0	
W14	property-required	budg-b64	7	7	1.000	0	0		0	0		0	0		0	0		0	0		0	0	
W14	property-required	semantic	7	8	0.875	0	0		0	0		0	0		0	0		0	0		0	0	
W8	2hop-typed	budg-b64	1394167	1054609	1.322	2779873	3573234	0.778	2060374	1635874	1.259	2058576	1629603	1.263	2276854176	2247665568	1.013	3052400904	2829755832	1.079	1289664315	968002610	1.332
W8	2hop-typed	semantic	1394167	1050198	1.328	2779873	3597424	0.773	2060374	1635833	1.260	2058576	1629603	1.263	2276854176	2247665568	1.013	3052400904	2827049448	1.080	1289664315	963721845	1.338
W8	property-presence	budg-b64	29485	22174	1.330	43074	33608	1.282	0	0		42980	33425	1.286	12944032	12547936	1.032	29194864	24970960	1.169	27436652	20568793	1.334
W8	property-presence	semantic	29485	22083	1.335	43074	33684	1.279	0	0		42980	33425	1.286	12944032	12547936	1.032	29194864	24977656	1.169	27436652	20452487	1.341
W8	property-equality	budg-b64	28634	22792	1.256	43074	33608	1.282	0	0		42980	33425	1.286	12944032	12547936	1.032	29194864	24970960	1.169	26634543	21150235	1.259
W8	property-equality	semantic	28634	21451	1.335	43074	33684	1.279	0	0		42980	33425	1.286	12944032	12547936	1.032	29194864	24977656	1.169	26634543	19873573	1.340
W6	core	edge-type-only	393126	390493	1.007	5929197	5899015	1.005	548549	548404	1.000	532227	532193	1.000	153835168	153829408	1.000	366900112	366846328	1.000	364399730	361759196	1.007
W6	core	budg-b64	393126	390288	1.007	5929197	6022507	0.985	548549	548514	1.000	532227	532193	1.000	153835168	153829408	1.000	366900112	366411688	1.001	364399730	361451118	1.008
W6	core	semantic	393126	372610	1.055	5929197	7782877	0.762	548549	552099	0.994	532227	532193	1.000	153835168	153829408	1.000	366900112	353177104	1.039	364399730	341987556	1.066
