variant	edge_type	read_bytes	candidate_l0	body_reads	offset_reads	ops	avg_us	p99_us
naive	1	9565741312	4039245	996079	808	5000	14348	50000
naive	2	16976327424	6948148	17797	882	5000	9845	100000
naive	3	101014672	6805490	22834	13	5000	1158	2000
naive	7	328012640	4039202	1005773	0	5000	9489	50000
naive	8	324856608	4039245	1005309	0	5000	9594	50000
naive	9	885344	7306629	16770	0	5000	1156	2000
naive	10	1045696	7306723	18209	0	5000	1237	2000
naive	11	10214880	4385357	19682	0	5000	808	1000
naive	12	10330112	4387562	19713	0	5000	810	1000
schema	1	14695936	144972	81477	0	5000	17914	250000
schema	2	3117784	873869	5002	3	5000	409	1000
schema	3	810600	1072533	5002	1	5000	436	1000
schema	7	91055552	1159769	246910	0	5000	14536	100000
schema	8	37140544	479910	173806	0	5000	9419	50000
schema	9	160256	538909	5005	0	5000	359	1000
schema	10	160064	527696	5002	0	5000	355	1000
schema	11	2429504	282433	5012	0	5000	332	1000
schema	12	7411456	849106	5011	0	5000	396	1000
edge-type-only	1	14695936	144972	81477	0	5000	12246	250000
edge-type-only	2	160000	868645	5000	0	5000	411	1000
edge-type-only	3	621600	1069591	5000	0	5000	432	1000
edge-type-only	7	91055552	1159769	246910	0	5000	14821	100000
edge-type-only	8	37140544	479910	173806	0	5000	9774	50000
edge-type-only	9	160000	532863	5000	0	5000	102	250
edge-type-only	10	160000	521665	5000	0	5000	102	250
edge-type-only	11	2426912	277473	5000	0	5000	335	1000
edge-type-only	12	7408864	844127	5000	0	5000	376	1000
semantic	1	183790168	220150	81477	87	5000	16483	250000
semantic	2	3094406248	868645	5000	123	5000	1290	1000
semantic	3	910635624	1068646	5000	144	5000	652	2000
semantic	7	601750128	2196770	246910	464	5000	13436	50000
semantic	8	396664984	706050	173806	192	5000	8244	50000
semantic	9	2679547280	532863	5000	107	5000	930	250
semantic	10	2603105104	521665	5000	105	5000	903	250
semantic	11	2426912	343128	5000	0	5000	232	1000
semantic	12	7408864	1324960	5000	0	5000	410	1000
budg-b64	1	14695936	255217	81477	0	5000	8266	250000
budg-b64	2	160000	868645	5000	0	5000	145	250
budg-b64	3	621600	1068450	5000	0	5000	300	1000
budg-b64	7	91055552	1174169	246910	0	5000	14314	100000
budg-b64	8	37140544	479910	173806	0	5000	9233	50000
budg-b64	9	160000	532863	5000	0	5000	105	250
budg-b64	10	160000	521665	5000	0	5000	108	250
budg-b64	11	2426912	277473	5000	0	5000	76	250
budg-b64	12	7408864	844127	5000	0	5000	378	1000
budg-b256	1	14695936	255217	81477	0	5000	8184	250000
budg-b256	2	160000	868645	5000	0	5000	149	250
budg-b256	3	621600	1068450	5000	0	5000	357	1000
budg-b256	7	91055552	1637987	246910	0	5000	14440	100000
budg-b256	8	37140544	479910	173806	0	5000	9337	50000
budg-b256	9	160000	532863	5000	0	5000	109	250
budg-b256	10	160000	521665	5000	0	5000	105	250
budg-b256	11	2426912	277473	5000	0	5000	72	100
budg-b256	12	7408864	844127	5000	0	5000	377	1000
budg-b1024	1	15378904	255217	81477	3	5000	12034	250000
budg-b1024	2	160000	868645	5000	0	5000	158	250
budg-b1024	3	621600	1068450	5000	0	5000	367	1000
budg-b1024	7	367656776	2195769	246910	168	5000	14305	100000
budg-b1024	8	340099600	718645	173806	87	5000	8935	50000
budg-b1024	9	160000	532863	5000	0	5000	119	250
budg-b1024	10	160000	521665	5000	0	5000	108	250
budg-b1024	11	2426912	277473	5000	0	5000	74	250
budg-b1024	12	7408864	1238148	5000	0	5000	445	1000
