variant	layout	read_MiB	candidate_l0_segments	header_reads	offset_reads	body_reads	avg_ms	max_p99_ms	store_MiB	manifest_KiB	levels	comp_in_MiB	comp_out_MiB	mismatches	method
naive	plain LSM-CSR	301.27545166015625	292979	1058	1058	16420	3.5503333333333336	500.0	3618.634041786194	700.447265625	[1059, 0, 0, 0, 0]	0.0	0.0	0	measured
lsmgraph-style	LSMGraph-style L0	301.27545166015625	292979	1058	1058	16420	3.784	500.0	3618.634041786194	700.447265625	[1059, 0, 0, 0, 0]	0.0	0.0	0	measured
label-only	source label only	278.20135498046875	199088	1617	1617	16420	3.291888888888889	500.0	3619.4270935058594	1359.5322265625	[2059, 0, 0, 0, 0]	0.0	0.0	0	measured
edge-type-only	edge type only	0.572418212890625	32915	0	0	2627	0.29144444444444445	5.0	3625.5149822235107	1426.1943359375	[2158, 0, 0, 0, 0]	0.0	0.0	0	measured
schema	graph-aware L0: src_label + edge_type + range	278.20135498046875	199088	1617	1617	16420	3.332	500.0	3619.4250564575195	1357.4462890625	[2059, 0, 0, 0, 0]	0.0	0.0	0	measured
degree-only	degree-aware	300.81649017333984	440957	1717	1717	16420	3.8343333333333334	500.0	3619.5859813690186	1478.8583984375	[2246, 0, 0, 0, 0]	0.0	0.0	0	measured
semantic-budgeted	SemL0 budgeted semantic	278.20135498046875	199088	1617	1617	16420	3.3281111111111112	500.0	3619.617162704468	1357.4462890625	[2059, 0, 0, 0, 0]	0.0	0.0	0	measured
semantic	full semantic upper bound	0.572418212890625	39648	0	0	2627	0.3016666666666667	5.0	3626.7504959106445	2451.2353515625	[3727, 0, 0, 0, 0]	0.0	0.0	0	measured
full-compact	full compacted LSM-CSR upper baseline	4.855560302734375	0	0	0	450	0.05988888888888889	2.0	4750.230143547058	736.23046875	[0, 1, 0, 0, 0]	0.0	0.0	0	measured
schema-feedback	graph-aware + feedback compaction	278.20135498046875	199088	1617	1617	16420	3.305111111111111	500.0	3619.4250564575195	1357.4462890625	[2059, 0, 0, 0, 0]	0.0	0.0	0	measured
budgeted-feedback	budgeted semantic + feedback compaction	278.20135498046875	199088	1617	1617	16420	3.7664444444444443	500.0	3619.617162704468	1357.4462890625	[2059, 0, 0, 0, 0]	0.0	0.0	0	measured
kv-style	KV-style encoding simulation: edge_type,src,dst,ts	0.6714363098144531	450	450	450	18757	3.332	500.0	0.6439704895019531	0.0	['kv-style']	0.0	0.0	0	encoding-simulation-from-shared-storage-bench
