figure_id	panel_id	source_id	record_id	system	variant	dataset	workload	scope	x_name	x_value	x_unit	metric	value	unit	aggregation	protocol_id	correctness_status	plot_eligibility	verdict	value_provenance	protocol_provenance	caveat
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:query_ops_per_repeat	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				query_ops_per_repeat	9000	operations	protocol_count	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=ops/repeat	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:avg_latency_us	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				avg_latency_us	749.8	us_per_operation	mean_across_same_store_repeats	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=avg us mean+/-std	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:p50_us_edge_mean	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				p50_us_edge_mean	1048	us	mean_of_per_edge_type_percentiles	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=p50/p90/p99 edge-mean us	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:p90_us_edge_mean	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				p90_us_edge_mean	1248	us	mean_of_per_edge_type_percentiles	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=p50/p90/p99 edge-mean us	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:p99_us_edge_mean	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				p99_us_edge_mean	1407	us	mean_of_per_edge_type_percentiles	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=p50/p90/p99 edge-mean us	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:load_import_s	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				load_import_s	199.49	seconds	single_import_wall_clock	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time Elapsed raw=3:19.49	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:peak_import_rss_kb	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				peak_import_rss_kb	2226668	kbytes_time_v	single_import	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time Maximum resident set size	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-schema:core9:disk_total_bytes	SemL0	schema	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				disk_total_bytes	14306705264	bytes	du_-sb_after_import	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import column=store_size_bytes	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:query_ops_per_repeat	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				query_ops_per_repeat	9000	operations	protocol_count	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=budg-b64 column=ops/repeat	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:avg_latency_us	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				avg_latency_us	525.4	us_per_operation	mean_across_same_store_repeats	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=budg-b64 column=avg us mean+/-std	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:p50_us_edge_mean	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				p50_us_edge_mean	706	us	mean_of_per_edge_type_percentiles	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=budg-b64 column=p50/p90/p99 edge-mean us	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:p90_us_edge_mean	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				p90_us_edge_mean	989	us	mean_of_per_edge_type_percentiles	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=budg-b64 column=p50/p90/p99 edge-mean us	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:p99_us_edge_mean	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				p99_us_edge_mean	1170	us	mean_of_per_edge_type_percentiles	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=budg-b64 column=p50/p90/p99 edge-mean us	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:load_import_s	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				load_import_s	195.51	seconds	single_import_wall_clock	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/budg-b64-import.stderr#/usr/bin/time Elapsed raw=3:15.51	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:peak_import_rss_kb	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				peak_import_rss_kb	2366196	kbytes_time_v	single_import	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/budg-b64-import.stderr#/usr/bin/time Maximum resident set size	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
fig1-end-to-end	sf10-scope-limited	w6_sf10_fig1	SemL0-budg-b64:core9:disk_total_bytes	SemL0	budg-b64	SF10	outgoing_typed_neighbor	9 core edge types; 1000 samples/type; 9000 ops/repeat; 3 same-store repeats				disk_total_bytes	14312304486	bytes	du_-sb_after_import	w6_sf10_core_typed	PASS (9,000)	CONTEXT_ONLY_NOT_MATCHED	RERUN	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=budg-b64/import column=store_size_bytes	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#bench_variant	Not directly comparable with external rows: SemL0 uses 9 core types and 9000 ops/repeat; external protocols use different type sets, operation counts, APIs, and timing boundaries.
