figure_id	panel_id	source_id	record_id	system	variant	dataset	workload	scope	x_name	x_value	x_unit	metric	value	unit	aggregation	protocol_id	correctness_status	plot_eligibility	verdict	value_provenance	protocol_provenance	caveat
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:ops_per_repeat	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				ops_per_repeat	9000	operations	protocol_count	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=ops/repeat	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:store_size_gib_reported	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				store_size_gib_reported	13.3	GiB_reported	single_import	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=store GiB	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:l0_files	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				l0_files	376	files	single_import	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=L0 files	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:candidate_l0_total_mean	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				candidate_l0_total_mean	131321	segments_per_repeat	mean_across_same_store_repeats	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=candidate L0 mean+/-std	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:candidate_l0_total_std	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				candidate_l0_total_std	0	segments_per_repeat	stddev_across_same_store_repeats	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=candidate L0 mean+/-std	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:candidate_l0_per_op_mean	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				candidate_l0_per_op_mean	14.591222222222223	segments_per_operation	derived_from_reported_means	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=candidate L0 mean+/-std / cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=ops/repeat	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:candidate_l0_per_op_std	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				candidate_l0_per_op_std	0	segments_per_operation	derived_from_reported_stddev	w6_sf10_core_typed	PASS (9,000)	PLOT_WITH_CAVEAT	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=candidate L0 mean+/-std / cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=ops/repeat	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:read_bytes_total_mean	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				read_bytes_total_mean	81477611	bytes_per_repeat	mean_across_same_store_repeats	w6_sf10_core_typed	PASS (9,000)	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=read bytes mean+/-std	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:read_bytes_total_std	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				read_bytes_total_std	71328014	bytes_per_repeat	stddev_across_same_store_repeats	w6_sf10_core_typed	PASS (9,000)	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=read bytes mean+/-std	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
fig2-component-ablation	w6-layout-matrix	w6_sf10_fig2	SF10:schema:read_bytes_per_op_mean	SemL0	schema	SF10	outgoing_typed_neighbor	edge_types=1,2,3,7,8,9,10,11,12; samples_per_type=1000; repeats=3; same_store_repeats				read_bytes_per_op_mean	9053.067888888889	bytes_per_operation	derived_from_reported_means	w6_sf10_core_typed	PASS (9,000)	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=read bytes mean+/-std / cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=ops/repeat	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix; lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh: EDGE_TYPES/SAMPLES/REPEATS and sample-plan reuse	W6 variants are precomposed layouts rather than one-switch component isolation; repeats reuse one imported store and are not independent process trials. Read-byte metrics retain the reader-overread caveat.
