figure_id	panel_id	source_id	record_id	system	variant	dataset	workload	scope	x_name	x_value	x_unit	metric	value	unit	aggregation	protocol_id	correctness_status	plot_eligibility	verdict	value_provenance	protocol_provenance	caveat
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:naive:pruning_retention	SemL0	naive	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				pruning_retention	0	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/naive column=pruning_retention	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:naive:output_segments	SemL0	naive	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				output_segments	1	segments	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/naive column=output segs	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:naive:write_amplification	SemL0	naive	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				write_amplification	1.22	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/naive column=write_amp	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:naive:relative_full_read_cost_after_vs_before	SemL0	naive	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				relative_full_read_cost_after_vs_before	4	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/naive column=read after vs before	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:naive:correctness_mismatches	SemL0	naive	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				correctness_mismatches	0	queries	digest_compare	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/naive column=mismatches	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:semantic:pruning_retention	SemL0	semantic	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				pruning_retention	1	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/semantic column=pruning_retention	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:semantic:output_segments	SemL0	semantic	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				output_segments	4	segments	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/semantic column=output segs	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:semantic:write_amplification	SemL0	semantic	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				write_amplification	1.87	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/semantic column=write_amp	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:semantic:relative_full_read_cost_after_vs_before	SemL0	semantic	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				relative_full_read_cost_after_vs_before	1	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/semantic column=read after vs before	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF1:semantic:correctness_mismatches	SemL0	semantic	SF1	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				correctness_mismatches	0	queries	digest_compare	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF1/semantic column=mismatches	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:naive:pruning_retention	SemL0	naive	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				pruning_retention	0	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/naive column=pruning_retention	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:naive:output_segments	SemL0	naive	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				output_segments	1	segments	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/naive column=output segs	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:naive:write_amplification	SemL0	naive	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				write_amplification	1.14	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/naive column=write_amp	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:naive:relative_full_read_cost_after_vs_before	SemL0	naive	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				relative_full_read_cost_after_vs_before	6	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/naive column=read after vs before	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:naive:correctness_mismatches	SemL0	naive	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				correctness_mismatches	0	queries	digest_compare	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/naive column=mismatches	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:semantic:pruning_retention	SemL0	semantic	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				pruning_retention	1	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/semantic column=pruning_retention	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:semantic:output_segments	SemL0	semantic	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				output_segments	6	segments	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/semantic column=output segs	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:semantic:write_amplification	SemL0	semantic	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				write_amplification	1.85	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/semantic column=write_amp	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:semantic:relative_full_read_cost_after_vs_before	SemL0	semantic	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				relative_full_read_cost_after_vs_before	1	ratio	single_controlled_run	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/semantic column=read after vs before	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-a-controlled	c2_layer_a_fig4	C2A:SF10c:semantic:correctness_mismatches	SemL0	semantic	SF10c	controlled_typed_neighbor_full_read	controlled synthetic merge; full read consequence and correctness				correctness_mismatches	0	queries	digest_compare	c2_controlled_full_read	mismatches=0	PLOT_CANDIDATE_CONTROLLED	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A row=SF10c/semantic column=mismatches	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer A source note	Intentionally controlled synthetic partition structure; do not label as real LDBC end-to-end.
fig4-dynamic-compaction	c2-layer-b-real-retention-cost	c2_layer_b_fig4	C2B:SF1 (real):naive:pruning_retention	SemL0	naive	SF1 (real)	open_mode_retention_and_write_cost	real LDBC open-mode; no per-run full read workload				pruning_retention	0	ratio	single_open_mode_run	c2_real_open_mode	LOSSLESSNESS_COVERED_BY_ENGINE_TESTS_NOT_PER_RUN_DIGEST	PLOT_CANDIDATE_REAL_RETENTION_COST	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer B row=SF1 (real)/naive column=pruning_retention	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer B source note	Real-data retention and write-cost evidence only; no full body-read latency in this layer.
fig4-dynamic-compaction	c2-layer-b-real-retention-cost	c2_layer_b_fig4	C2B:SF1 (real):naive:exact_surface_after	SemL0	naive	SF1 (real)	open_mode_retention_and_write_cost	real LDBC open-mode; no per-run full read workload				exact_surface_after	0	ratio	single_open_mode_run	c2_real_open_mode	LOSSLESSNESS_COVERED_BY_ENGINE_TESTS_NOT_PER_RUN_DIGEST	PLOT_CANDIDATE_REAL_RETENTION_COST	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer B row=SF1 (real)/naive column=exact_surface after	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer B source note	Real-data retention and write-cost evidence only; no full body-read latency in this layer.
fig4-dynamic-compaction	c2-layer-b-real-retention-cost	c2_layer_b_fig4	C2B:SF1 (real):naive:output_segments	SemL0	naive	SF1 (real)	open_mode_retention_and_write_cost	real LDBC open-mode; no per-run full read workload				output_segments	17	segments	single_open_mode_run	c2_real_open_mode	LOSSLESSNESS_COVERED_BY_ENGINE_TESTS_NOT_PER_RUN_DIGEST	PLOT_CANDIDATE_REAL_RETENTION_COST	REUSE	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer B row=SF1 (real)/naive column=output segs	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md#Layer B source note	Real-data retention and write-cost evidence only; no full body-read latency in this layer.
