system	group	scale	scope	ops	avg_us	p50_us	p90_us	p99_us	load_s	peak_rss_kb	disk_total_bytes	correctness	claim_level	raw_artifact	notes	verdict	claim_scope	source_path	source_sha256
LiveGraph	problem-adjacent	SF10	all-types-summary	32140	391.062912				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	34 edge types; percentiles not aggregated	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
LiveGraph	problem-adjacent	SF10	positive-edge-types-summary	16070	2.089441				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	17 edge types; percentiles not aggregated	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
LiveGraph	problem-adjacent	SF10	negative-edge-types-summary	16070	780.036382				1457.36	47908544	38654705664	PASS	scope-limited measured external baseline	baseline/external-baselines-20260624/livegraph	17 edge types; percentiles not aggregated	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
Aster RocksGraph	problem-adjacent	SF10	all-types-summary	1700	1408.27	580.529	1061.24	15809.6	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	neighbors=84104814; bridge=compact logical vertex per (edge_type,src)	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
Aster RocksGraph	problem-adjacent	SF10	positive-edge-types-summary	850	564.505	558.747	917.97	1123.39	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	neighbors=87168; bridge=compact logical vertex per (edge_type,src)	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
Aster RocksGraph	problem-adjacent	SF10	negative-edge-types-summary	850	2252.04	710.325	1782.86	65524.1	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	neighbors=84017646; bridge=compact logical vertex per (edge_type,src)	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
Neo4j Community	open-source-graph-db	SF10	all-types-summary	1700	1974806.0859911756	3442.775	70662.558	34522340.128	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	neighbors=84104814; samples=50; relationships_imported=355185382	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
Neo4j Community	open-source-graph-db	SF10	positive-edge-types-summary	850	6444.488203529413	1459.891	15364.28	70333.282	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	neighbors=87168; samples=50; relationships_imported=355185382	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
Neo4j Community	open-source-graph-db	SF10	negative-edge-types-summary	850	3943167.6837788224	8292.575	307835.191	166537341.706	216.84547472000122		16664449041	PASS	measured graph DB baseline; SF10 main	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main	neighbors=84017646; samples=50; relationships_imported=355185382	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
TuGraph	open-source-graph-db	SF10	all-types-summary	1700	3775.45	12.63	633.49	158870	3939.95	14697508	14960539904	PASS	measured graph DB baseline; SF10 full	baseline/external-baselines-20260626/3plus3-baselines/systems/tugraph/sf10-main-r1	loaded_vertices=29987835; loaded_edges=355185382; neighbors=84104814; embedded C++ API	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
NebulaGraph	open-source-graph-db	SF10	all-types-summary	1700	744146.6177941178	741.524	20218.339	14228169.276	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	neighbors=84104814; batch_size=500; image=v3.8.0	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
NebulaGraph	open-source-graph-db	SF10	positive-edge-types-summary	850	1753.3543270588223	480.324	3450.354	20629.986	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	neighbors=87168; batch_size=500; image=v3.8.0	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
NebulaGraph	open-source-graph-db	SF10	negative-edge-types-summary	850	1486539.8812611774	2035.727	98061.027	63139284.448	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	neighbors=84017646; batch_size=500; image=v3.8.0	CONTEXT_ONLY	historical old-hardware scope-limited baseline; not matched to SemL0 workload	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/metrics.tsv	cbd06be9029c1e6a52e1c6c05ed40183f745759aac85c2f2767e9c7c9bc0e2a0
