source_id	arm	elapsed_s	queries	query_rate_s	p50_us	p99_us	candidate_l0_mean	l0_files	compactions_delta	compaction_output_bytes_delta	compaction_rewrite_bytes_delta	compaction_rewrite_bytes_cumulative	writer_max_op_us	writer_errors	repeat_index	verdict	claim_scope	source_path	source_sha256
RQ3-SF30	feedback	300.000238046	49219	164.06320315136915	9.249	127.10900000000001	23.362380381559966	46	4	3002352	6104880	6104880	64508	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/feedback.jsonl	4eee05881cb24a42362c4e55060cce9764f55711b7d5f5c23a96321a6c7f8572
RQ3-SF30	feedback	600.003807361	49172	163.90471657478852	23.974	227.822	69.7575246075002	101	5	8697576	17504792	23609672	64508	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/feedback.jsonl	4eee05881cb24a42362c4e55060cce9764f55711b7d5f5c23a96321a6c7f8572
RQ3-SF30	feedback	900.002655657	49225	164.08396325385604	70.33300000000001	349.442	121.15449466734383	144	5	12885296	26239984	49849656	64508	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/feedback.jsonl	4eee05881cb24a42362c4e55060cce9764f55711b7d5f5c23a96321a6c7f8572
RQ3-SF30	feedback	1200.004722477	49194	163.97887028397108	81.399	447.868	170.2281375777534	212	5	16870080	33940448	83790104	64508	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/feedback.jsonl	4eee05881cb24a42362c4e55060cce9764f55711b7d5f5c23a96321a6c7f8572
RQ3-SF30	feedback	1500.003523473	49115	163.71732099240913	95.184	626.148	233.24709355594015	258	5	19601280	39676800	123466904	64508	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/feedback.jsonl	4eee05881cb24a42362c4e55060cce9764f55711b7d5f5c23a96321a6c7f8572
RQ3-SF30	feedback	1800.001109128	49215	164.05132025494933	102.36800000000001	692.5409999999999	271.7024281215077	294	5	24439920	49401240	172868144	64508	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/feedback.jsonl	4eee05881cb24a42362c4e55060cce9764f55711b7d5f5c23a96321a6c7f8572
RQ3-SF30	full	300.001023833	49271	164.23610616551574	6.1770000000000005	112.873	9.519676889042236	20	4	4170632	8464480	8464480	104561	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/full.jsonl	fbab6fa6567289dc0705104593483ae37a6deb98765a688431410b0d58c0e118
RQ3-SF30	full	600.005570974	49251	164.1675116905891	7.655	126.857	9.47753345109744	20	5	14332816	28953136	37417616	104561	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/full.jsonl	fbab6fa6567289dc0705104593483ae37a6deb98765a688431410b0d58c0e118
RQ3-SF30	full	900.002798075	49292	164.3081853666763	48.653000000000006	144.389	9.881725229246126	20	5	23576088	47692312	85109928	104561	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/full.jsonl	fbab6fa6567289dc0705104593483ae37a6deb98765a688431410b0d58c0e118
RQ3-SF30	full	1200.000113607	49260	164.2014693119664	47.614000000000004	148.899	9.464555420219245	18	5	31514656	63724248	148834176	104561	0	1	PROVISIONAL	one run/arm; wall-clock RNG means query sequences differ; no digest/CPU/RSS	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/rq3-formal-1800-20260623-174053/full.jsonl	fbab6fa6567289dc0705104593483ae37a6deb98765a688431410b0d58c0e118
