source_id	scale	variant	layout	store_gib	l0_files	ops_per_repeat	candidate_l0_mean	candidate_l0_std	candidate_per_op	read_bytes_mean	read_bytes_std	read_bytes_per_op	avg_us_mean	avg_us_std	p50_us_mean	p50_us_std	p90_us_mean	p90_us_std	p99_us_mean	p99_us_std	mismatch_count	repeat_semantics	verdict	claim_scope	source_path	source_sha256
W6-SF10	SF10	schema	Schema	13.3	376	9000	131321.0	0.0	14.591222222222223	81477611.0	71328014.0	9053.067888888889	749.8	0.5	1048.0	3.0	1248.0	5.0	1407.0	35.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	naive	Naive	13.4	170	9000	1001798.0	0.0	111.31088888888888	338940880.0	190626032.0	37660.09777777778	4177.3	28.2	5713.0	13.0	7426.0	262.0	7833.0	0.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	kv-lsm	RocksDbStyle	13.4	170	9000	1001798.0	0.0	111.31088888888888	338940880.0	190626032.0	37660.09777777778	4111.1	32.7	5676.0	35.0	6296.0	288.0	7833.0	0.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	edge-type-only	EdgeTypeOnly	13.3	380	9000	122444.0	0.0	13.604888888888889	78943597.0	71327713.0	8771.510777777778	534.6	3.8	706.0	0.0	1017.0	0.0	1198.0	18.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	semantic	Semantic	14.6	737	9000	158358.0	0.0	17.595333333333333	78098749.0	70894420.0	8677.638777777778	509.1	3.8	702.0	3.0	744.0	24.0	1170.0	13.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	budg-b64	SemanticBudgeted	13.3	444	9000	149019.0	0.0	16.557666666666666	78331325.0	71159727.0	8703.480555555556	525.4	13.5	706.0	0.0	989.0	0.0	1170.0	13.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	budg-b256	SemanticBudgeted	13.7	569	9000	158924.0	0.0	17.65822222222222	78103013.0	70879509.0	8678.112555555555	522.6	10.9	707.0	3.0	874.0	109.0	1170.0	13.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	budg-b1024	SemanticBudgeted	14.5	605	9000	158924.0	0.0	17.65822222222222	78103013.0	70879509.0	8678.112555555555	517.1	5.2	706.0	0.0	915.0	105.0	1170.0	13.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF10	SF10	oracle	OracleSemantic	13.4	170	9000	28907.0	0.0	3.211888888888889	129725328.0	139216903.0	14413.925333333333	659.5	12.0	804.0	3.0	1054.0	14.0	1443.0	335.0	0	3 repeats in one process/store	FIX	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03
W6-SF100	SF100	schema	Schema	133.9	3444	45000	5929197.0	0.0	131.75993333333332	859764709.0	697015798.0	19105.88242222222	9816.8	1585.5	10259.0	1663.0	26481.0	3274.0	37333.0	8957.0	0	3 repeats in one process/store	REUSE	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c
W6-SF100	SF100	naive	Naive	134.6	1703	45000	49257601.0	0.0	1094.6133555555555	3629768504.0	1869743834.0	80661.52231111111	53513.8	189.7	53889.0	0.0	172222.0	0.0	179259.0	693.0	0	3 repeats in one process/store	REUSE	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c
W6-SF100	SF100	kv-lsm	RocksDbStyle	134.6	1703	45000	49257601.0	0.0	1094.6133555555555	3629768504.0	1869743834.0	80661.52231111111	53892.0	139.3	53704.0	131.0	172315.0	131.0	178889.0	454.0	0	3 repeats in one process/store	REUSE	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c
W6-SF100	SF100	edge-type-only	EdgeTypeOnly	133.9	3446	45000	5899015.0	0.0	131.08922222222222	859688909.0	696984663.0	19104.197977777778	8676.5	16.3	9111.0	45.0	22278.0	1260.0	31074.0	114.0	0	3 repeats in one process/store	REUSE	layout/typed-neighbor diagnostic; not component staircase or matched external	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c
