source_id	category	variant	predicate	candidate_l0_mean	body_reads_mean	read_bytes_mean	elapsed_s_mean	p50_us	p90_us	p99_us	output_edges_mean	repeat_semantics	verdict	claim_scope	source_path	source_sha256
W8-SF30	property	schema	required_property	0	0	0	0.004	25	25	25	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	schema	presence	43074	42980	29192355	28.93	7500	10000	10000	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	schema	equality	43074	42980	29192355	28.42	7500	10000	10000	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	schema	absent_default	43074	42980	29192355	28.76	7500	10000	10000	392123	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	budg-b64	required_property	0	0	0	0.0043	25	25	25	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	budg-b64	presence	33608	33425	24966594	21.95	7500	7500	7500	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	budg-b64	equality	33608	33425	24966594	22.15	7500	7500	7500	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	budg-b64	absent_default	33608	33425	24966594	21.99	7500	7500	7500	392123	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	semantic	required_property	0	0	0	0.0053	25	25	25	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	semantic	presence	33684	33425	24977080	22.01	7500	7500	7500	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	semantic	equality	33684	33425	24977080	21.7	7500	7500	7500	0	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	property	semantic	absent_default	33684	33425	24977080	21.84	7500	7500	7500	392123	3 repeats in one process/store	FIX	property coverage; equality is prototype; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	two-hop	schema	two-hop	2779873	2058576	3049426780	1392.6000000000001	7500	10000	10000	69847426	3 repeats in one process/store	FIX	two-hop coverage; candidate count regresses; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	two-hop	budg-b64	two-hop	3573234	1629603	2834678415	1047.0	7500	7500	7500	69847426	3 repeats in one process/store	FIX	two-hop coverage; candidate count regresses; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
W8-SF30	two-hop	semantic	two-hop	3597424	1629603	2823940997	1047.0	7500	7500	7500	69847426	3 repeats in one process/store	FIX	two-hop coverage; candidate count regresses; no query digest	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md	a29b0beb55983fd2eead60491fc406e9932ae1316b81388507c122c0056190ef
