variant	scale	ops_per_repeat	candidate_l0	read_bytes	avg_us	p99_us	store_gib	l0_files	candidate_per_op
schema	SF10	9,000	131,321	81,477,611	749.8	1,407	13.3	376	14.59
budg-b64	SF10	9,000	149,019	78,331,325	525.4	1,170	13.3	444	16.56
semantic	SF10	9,000	158,358	78,098,749	509.1	1,170	14.6	737	17.60
naive	SF10	9,000	1,001,798	338,940,880	4,177.3	7,833	13.4	170	111.31
kv-lsm	SF10	9,000	1,001,798	338,940,880	4,111.1	7,833	13.4	170	111.31
schema	SF100	45,000	5,929,197	859,764,709	9,816.8	37,333	133.9	3,444	131.76
budg-b64	SF100	45,000	6,022,507	859,490,557	8,722.1	30,981	133.9	3,483	133.83
semantic	SF100	45,000	7,782,877	673,877,573	8,250.9	30,415	146.4	6,615	172.95
naive	SF100	45,000	49,257,601	3,629,768,504	53,513.8	179,259	134.6	1,703	1094.61
kv-lsm	SF100	45,000	49,257,601	3,629,768,504	53,892.0	178,889	134.6	1,703	1094.61
