variant	layout	kind	store	artifact	store_size_bytes
schema	schema	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/schema	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/schema-import.stderr	14306705264
schema	schema	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/schema	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/schema-bench.json	14306705264
sentinel-A1	schema	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/schema	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/sentinel-A1.json	14306705264
naive	naive	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/naive	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/naive-import.stderr	14399256549
naive	naive	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/naive	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/naive-bench.json	14399256549
schema	schema	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/schema	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-schema.json	14306705264
kv-lsm	kv-lsm	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/kv-lsm	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/kv-lsm-import.stderr	14399256579
kv-lsm	kv-lsm	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/kv-lsm	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/kv-lsm-bench.json	14399256579
kv-lsm	kv-lsm	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/kv-lsm	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-kv-lsm.json	14399256579
edge-type-only	edge-type-only	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/edge-type-only	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/edge-type-only-import.stderr	14307723623
edge-type-only	edge-type-only	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/edge-type-only	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/edge-type-only-bench.json	14307723623
edge-type-only	edge-type-only	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/edge-type-only	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-edge-type-only.json	14307723623
sentinel-B	schema	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/schema	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/sentinel-B.json	14306705264
semantic	semantic	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/semantic	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/semantic-import.stderr	15716350769
semantic	semantic	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/semantic	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/semantic-bench.json	15716350769
semantic	semantic	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/semantic	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-semantic.json	15716350769
budg-b64	semantic-budgeted	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b64	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/budg-b64-import.stderr	14312304486
budg-b64	semantic-budgeted	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b64	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/budg-b64-bench.json	14312304486
budg-b64	semantic-budgeted	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b64	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-budg-b64.json	14312304486
budg-b256	semantic-budgeted	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b256	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/budg-b256-import.stderr	14736250781
budg-b256	semantic-budgeted	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b256	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/budg-b256-bench.json	14736250781
budg-b256	semantic-budgeted	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b256	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-budg-b256.json	14736250781
budg-b1024	semantic-budgeted	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b1024	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/budg-b1024-import.stderr	15551904626
budg-b1024	semantic-budgeted	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b1024	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/budg-b1024-bench.json	15551904626
budg-b1024	semantic-budgeted	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/budg-b1024	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-budg-b1024.json	15551904626
oracle	oracle	import	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/oracle	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/oracle-import.stderr	14399256549
oracle	oracle	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/oracle	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/oracle-bench.json	14399256549
oracle	oracle	compare	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/oracle	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/compare-naive-vs-oracle.json	14399256549
sentinel-A2	schema	bench	/data/WorkSpace/lsmgraph-rs/store/w6-sf10-priority-20260709/schema	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709/sentinel-A2.json	14306705264
