figure_id	panel_id	source_id	record_id	system	variant	dataset	workload	scope	x_name	x_value	x_unit	metric	value	unit	aggregation	protocol_id	correctness_status	plot_eligibility	verdict	value_provenance	protocol_provenance	caveat
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:store_size_bytes	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			store_size_bytes	14306705264	bytes	du_-sb_after_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import column=store_size_bytes	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:store_size_gib_derived	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			store_size_gib_derived	13.3241575807333	GiB	derived	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import store_size_bytes / 2^30	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:l0_files	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			l0_files	376	files	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md#Aggregate Matrix row=schema column=L0 files	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:import_elapsed_s	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			import_elapsed_s	199.49	seconds	single_import_wall_clock	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=Elapsed raw=3:19.49; parsed as minutes:seconds	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:import_user_cpu_s	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			import_user_cpu_s	331.82	seconds	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=User time (seconds)	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:import_system_cpu_s	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			import_system_cpu_s	51.04	seconds	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=System time (seconds)	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:import_cpu_percent	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			import_cpu_percent	191	percent	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=Percent of CPU this job got	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:import_max_rss_kb	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			import_max_rss_kb	2226668	kbytes_time_v	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=Maximum resident set size (kbytes)	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:filesystem_inputs	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			filesystem_inputs	12618512	time_v_reported_units	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=File system inputs	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
fig3-resource-tradeoff	sf10-import-resource	w6_sf10_fig3	SF10:schema:filesystem_outputs	SemL0	schema	SF10	import_snb_full	single import; /usr/bin/time -v; SNB_SKIP_ADJ_CACHE=1; memgraph_bytes=67108864	semantic_budget			filesystem_outputs	27947592	time_v_reported_units	single_import	w6_sf10_import_time_v	EXIT_0	IMPORT_RESOURCE_ONLY	FIX	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/schema-import.stderr#/usr/bin/time -v field=File system outputs	lsmgraph-rs/baseline/run_w6_sf100_matrix_20260613.sh#import_variant; cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv row=schema/import	Import-side resource evidence only; no read-phase CPU/op, PSS, perf counters, compaction stall, or independent import repeats. Git SHA, binary hash, and run-specific hardware manifest are absent.
